PHS @ Pioneer — All Athletes — Averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games,GP,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
Overall,1,0,47.20%,20.90%,36.70%,73.30%,0.41,1.02,0,23,54,42.60%,47.20%,0,18,37,48.60%,0,5,17,29.40%,0,11,22,50.00%,0,62,60,0.88,62,+ 2.0,34,0,11,11,9,32,0,11,36.70%,22,73.30%,33,0,9,17,0.53,20.90%,0,5,20.00%,0.4,10,20.00%,0.3,0,13,7,2,13,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Period,GP,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
1st,1,0,38.90%,35.40%,37.50%,87.50%,0.89,0.7,0,3,9,33.30%,38.90%,0,2,4,50.00%,0,1,5,20.00%,0,3,8,37.50%,0,10,12,0.6,10,-2,8,0,2,2,0,4,0,3,37.50%,7,87.50%,10,0,2,7,0.29,35.40%,0,0,-,0,5,20.00%,0.2,0,1,1,0,3,0
2nd,1,0,58.30%,16.80%,0.00%,71.40%,0.5,1.03,0,6,12,50.00%,58.30%,0,4,8,50.00%,0,2,4,50.00%,0,4,6,66.70%,0,18,16,1.01,18,+ 2.0,9,0,0,1,0,6,0,0,0.00%,5,71.40%,5,0,2,3,0.67,16.80%,0,2,50.00%,1,2,0.00%,0,0,4,2,1,6,0
3rd,1,0,57.90%,8.70%,40.00%,83.30%,0.21,1.58,0,10,19,52.60%,57.90%,0,8,15,53.30%,0,2,4,50.00%,0,2,4,50.00%,0,24,19,1.27,24,+ 5.0,9,0,7,5,5,16,0,4,40.00%,5,83.30%,9,0,2,2,1,8.70%,0,1,0.00%,0,0,-,0,0,2,2,0,1,0
4th,1,0,28.60%,23.90%,40.00%,55.60%,0.29,0.92,0,4,14,28.60%,28.60%,0,4,10,40.00%,0,0,4,0.00%,0,2,4,50.00%,0,10,13,0.59,10,-3,8,0,2,3,4,6,0,4,40.00%,5,55.60%,9,0,3,5,0.6,23.90%,0,2,0.00%,0,3,33.30%,0.67,0,6,2,1,3,2
