PHS vs Novi — All Athletes — Averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games,GP,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
Overall,1,0,46.30%,19.50%,32.30%,58.30%,0.15,0.77,0,23,54,42.60%,46.30%,0,19,42,45.20%,0,4,12,33.30%,0,3,8,37.50%,0,53,60,0.86,53,-7,34,0,11,14,10,34,0,10,32.30%,14,58.30%,24,0,7,14,0.5,19.50%,0,1,0.00%,0,6,83.30%,1.5,0,5,4,2,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Period,GP,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
1st,1,0,37.50%,27.90%,25.00%,62.50%,0.17,0.68,0,4,12,33.30%,37.50%,0,3,10,30.00%,0,1,2,50.00%,0,0,2,0.00%,0,9,14,0.56,9,-5,9,0,0,0,2,4,0,2,25.00%,5,62.50%,7,0,2,5,0.4,27.90%,0,0,-,0,0,-,0,0,3,1,2,5,0
2nd,1,0,46.70%,24.40%,25.00%,80.00%,0.07,0.69,0,6,15,40.00%,46.70%,0,4,10,40.00%,0,2,5,40.00%,0,1,1,100.00%,0,15,22,0.81,15,-7,8,0,3,3,5,6,0,2,25.00%,4,80.00%,6,0,2,5,0.4,24.40%,0,0,-,0,4,75.00%,1.25,0,0,0,0,4,0
3rd,1,0,46.20%,13.30%,57.10%,40.00%,0,1.33,0,6,13,46.20%,46.20%,0,6,11,54.50%,0,0,2,0.00%,0,0,0,-,0,12,14,1.09,12,-2,8,0,4,4,2,12,0,4,57.10%,2,40.00%,6,0,2,2,1,13.30%,0,0,-,0,0,-,0,0,1,1,0,0,0
4th,1,0,53.60%,10.90%,25.00%,50.00%,0.36,0.68,0,7,14,50.00%,53.60%,0,6,11,54.50%,0,1,3,33.30%,0,2,5,40.00%,0,17,10,1.04,17,+ 7.0,9,0,4,7,1,12,0,2,25.00%,3,50.00%,5,0,1,2,0.5,10.90%,0,1,0.00%,0,2,100.00%,2,0,1,2,0,10,0
