Period,eFG%,TO%,OREB%,DREB%,FTF,VPS,FGM,FGA,FG%,eFG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PF,PA,PPP,PPG,+/-,MINS,TP,PoT,SCP,PiP,OREB,OREB%,DREB,DREB%,REB,AST,TO,A/TO,TO%,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,DEFL,STL,BLK,FOUL,CHG
1st,37.50%,27.90%,25.00%,62.50%,0.17,0.68,4,12,33.30%,37.50%,3,10,30.00%,1,2,50.00%,0,2,0.00%,9,14,0.56,9,-5,9,0,0,2,4,2,25.00%,5,62.50%,7,2,5,0.4,27.90%,0,-,0,0,-,0,3,1,2,5,0
2nd,46.70%,24.40%,25.00%,80.00%,0.07,0.69,6,15,40.00%,46.70%,4,10,40.00%,2,5,40.00%,1,1,100.00%,15,22,0.81,15,-7,8,3,3,5,6,2,25.00%,4,80.00%,6,2,5,0.4,24.40%,0,-,0,4,75.00%,1.25,0,0,0,4,0
3rd,46.20%,13.30%,57.10%,40.00%,0,1.33,6,13,46.20%,46.20%,6,11,54.50%,0,2,0.00%,0,0,-,12,14,1.09,12,-2,8,4,4,2,12,4,57.10%,2,40.00%,6,2,2,1,13.30%,0,-,0,0,-,0,1,1,0,0,0
4th,53.60%,10.90%,25.00%,50.00%,0.36,0.68,7,14,50.00%,53.60%,6,11,54.50%,1,3,33.30%,2,5,40.00%,17,10,1.04,17,+ 7.0,9,4,7,1,12,2,25.00%,3,50.00%,5,1,2,0.5,10.90%,1,0.00%,0,2,100.00%,2,1,2,0,10,0
