Period,eFG%,TO%,OREB%,DREB%,FTF,VPS,FGM,FGA,FG%,eFG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PF,PA,PPP,PPG,+/-,MINS,TP,PoT,SCP,PiP,OREB,OREB%,DREB,DREB%,REB,AST,TO,A/TO,TO%,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,DEFL,STL,BLK,FOUL,CHG
1st,38.90%,35.40%,37.50%,87.50%,0.89,0.7,3,9,33.30%,38.90%,2,4,50.00%,1,5,20.00%,3,8,37.50%,10,12,0.6,10,-2,8,2,2,0,4,3,37.50%,7,87.50%,10,2,7,0.29,35.40%,0,-,0,5,20.00%,0.2,1,1,0,3,0
2nd,58.30%,16.80%,0.00%,71.40%,0.5,1.03,6,12,50.00%,58.30%,4,8,50.00%,2,4,50.00%,4,6,66.70%,18,16,1.01,18,+ 2.0,9,0,1,0,6,0,0.00%,5,71.40%,5,2,3,0.67,16.80%,2,50.00%,1,2,0.00%,0,4,2,1,6,0
3rd,57.90%,8.70%,40.00%,83.30%,0.21,1.58,10,19,52.60%,57.90%,8,15,53.30%,2,4,50.00%,2,4,50.00%,24,19,1.27,24,+ 5.0,9,7,5,5,16,4,40.00%,5,83.30%,9,2,2,1,8.70%,1,0.00%,0,0,-,0,2,2,0,1,0
4th,28.60%,23.90%,40.00%,55.60%,0.29,0.92,4,14,28.60%,28.60%,4,10,40.00%,0,4,0.00%,2,4,50.00%,10,13,0.59,10,-3,8,2,3,4,6,4,40.00%,5,55.60%,9,3,5,0.6,23.90%,2,0.00%,0,3,33.30%,0.67,6,2,1,3,2
