Period,eFG%,TO%,OREB%,DREB%,FTF,VPS,FGM,FGA,FG%,eFG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PF,PA,PPP,PPG,+/-,MINS,TP,PoT,SCP,PiP,OREB,OREB%,DREB,DREB%,REB,AST,TO,A/TO,TO%,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,DEFL,STL,BLK,FOUL,CHG
1st,32.10%,5.90%,25.00%,66.70%,0.29,0.92,4,14,28.60%,32.10%,3,11,27.30%,1,3,33.30%,2,4,50.00%,11,9,0.79,11,+ 2.0,8,3,1,3,6,3,25.00%,4,66.70%,7,1,1,1,5.90%,1,0.00%,0,5,40.00%,0.6,2,2,0,1,0
2nd,65.00%,28.60%,33.30%,100.00%,0,0.88,6,10,60.00%,65.00%,5,8,62.50%,1,2,50.00%,0,0,-,13,16,1,13,-3,8,2,2,0,8,1,33.30%,3,100.00%,4,0,4,0,28.60%,3,33.30%,1,1,0.00%,0,1,3,0,5,0
3rd,46.70%,13.20%,66.70%,100.00%,0.67,0.95,7,15,46.70%,46.70%,7,10,70.00%,0,5,0.00%,5,10,50.00%,19,15,1.13,19,+ 4.0,9,4,4,3,14,6,66.70%,2,100.00%,8,2,3,0.67,13.20%,2,0.00%,0,3,33.30%,0.67,1,3,0,6,0
4th,70.80%,12.20%,0.00%,66.70%,0.42,1.21,8,12,66.70%,70.80%,7,9,77.80%,1,3,33.30%,3,5,60.00%,20,14,1.22,20,+ 6.0,8,2,4,0,12,0,0.00%,6,66.70%,6,2,2,1,12.20%,1,100.00%,2,2,50.00%,1,0,2,0,7,0
