Period,eFG%,TO%,OREB%,DREB%,FTF,VPS,FGM,FGA,FG%,eFG%,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,PF,PA,PPP,PPG,+/-,MINS,TP,PoT,SCP,PiP,OREB,OREB%,DREB,DREB%,REB,AST,TO,A/TO,TO%,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,DEFL,STL,BLK,FOUL,CHG
1st,41.20%,0.00%,60.00%,62.50%,0.12,1.37,6,17,35.30%,41.20%,4,11,36.40%,2,6,33.30%,2,2,100.00%,16,10,1.34,16,+ 6.0,8,5,9,4,8,6,60.00%,5,62.50%,11,3,0,0,0.00%,1,100.00%,2,3,33.30%,0.67,5,4,0,4,0
2nd,55.60%,49.00%,33.30%,85.70%,0.33,0.65,5,9,55.60%,55.60%,5,7,71.40%,0,2,0.00%,0,3,0.00%,10,16,0.54,10,-6,8,0,4,2,8,2,33.30%,6,85.70%,8,2,10,0.2,49.00%,2,0.00%,0,1,100.00%,2,3,1,0,3,0
3rd,53.80%,16.80%,42.90%,71.40%,0.31,1.15,7,13,53.80%,53.80%,7,11,63.60%,0,2,0.00%,3,4,75.00%,17,16,1.14,17,+ 1.0,8,2,4,2,6,3,42.90%,5,71.40%,8,0,3,0,16.80%,1,100.00%,1,2,50.00%,1,4,3,0,4,0
4th,60.00%,23.70%,40.00%,50.00%,0.6,1.06,5,10,50.00%,60.00%,3,6,50.00%,2,4,50.00%,4,6,66.70%,16,17,1.08,16,-1,8,2,0,3,4,2,40.00%,4,50.00%,6,4,4,1,23.70%,1,0.00%,0,1,100.00%,3,4,2,1,7,0
OT1,66.70%,9.80%,0.00%,100.00%,4.33,1.46,2,3,66.70%,66.70%,2,3,66.70%,0,0,-,10,13,76.90%,14,8,1.38,14,+ 6.0,4,0,2,0,4,0,0.00%,3,100.00%,3,0,1,0,9.80%,0,-,0,0,-,0,1,1,0,3,0
