PHS @ Rochester — All Athletes — Averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games,GP,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
Overall,1,0,52.00%,14.30%,34.50%,75.00%,0.37,0.99,0,25,51,49.00%,52.00%,0,22,38,57.90%,0,3,13,23.10%,0,10,19,52.60%,0,63,54,1.05,63,+ 9.0,34,0,11,11,6,40,0,10,34.50%,15,75.00%,25,0,5,10,0.5,14.30%,0,7,28.60%,0.71,11,36.40%,0.64,0,4,10,0,19,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Period,GP,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
1st,1,0,32.10%,5.90%,25.00%,66.70%,0.29,0.92,0,4,14,28.60%,32.10%,0,3,11,27.30%,0,1,3,33.30%,0,2,4,50.00%,0,11,9,0.79,11,+ 2.0,8,0,3,1,3,6,0,3,25.00%,4,66.70%,7,0,1,1,1,5.90%,0,1,0.00%,0,5,40.00%,0.6,0,2,2,0,1,0
2nd,1,0,65.00%,28.60%,33.30%,100.00%,0,0.88,0,6,10,60.00%,65.00%,0,5,8,62.50%,0,1,2,50.00%,0,0,0,-,0,13,16,1,13,-3,8,0,2,2,0,8,0,1,33.30%,3,100.00%,4,0,0,4,0,28.60%,0,3,33.30%,1,1,0.00%,0,0,1,3,0,5,0
3rd,1,0,46.70%,13.20%,66.70%,100.00%,0.67,0.95,0,7,15,46.70%,46.70%,0,7,10,70.00%,0,0,5,0.00%,0,5,10,50.00%,0,19,15,1.13,19,+ 4.0,9,0,4,4,3,14,0,6,66.70%,2,100.00%,8,0,2,3,0.67,13.20%,0,2,0.00%,0,3,33.30%,0.67,0,1,3,0,6,0
4th,1,0,70.80%,12.20%,0.00%,66.70%,0.42,1.21,0,8,12,66.70%,70.80%,0,7,9,77.80%,0,1,3,33.30%,0,3,5,60.00%,0,20,14,1.22,20,+ 6.0,8,0,2,4,0,12,0,0,0.00%,6,66.70%,6,0,2,2,1,12.20%,0,1,100.00%,2,2,50.00%,1,0,0,2,0,7,0
