PHS @ DCDS — All Athletes — Averages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Games,GP,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
Overall,1,0,51.90%,21.60%,44.80%,69.70%,0.54,1.07,0,25,52,48.10%,51.90%,0,21,38,55.30%,0,4,14,28.60%,0,19,28,67.90%,0,73,67,1.04,73,+ 6.0,37,0,9,19,11,30,0,13,44.80%,23,69.70%,36,0,9,18,0.5,21.60%,0,5,40.00%,0.6,7,57.10%,1.29,0,17,11,1,21,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
By Period,GP,0,eFG%,TO%,OREB%,DREB%,FTF,VPS,0,FGM,FGA,FG%,eFG%,0,2FGM,2FGA,2FG%,0,3FGM,3FGA,3FG%,0,FTM,FTA,FT%,0,PF,PA,PPP,PPG,+/-,MINS,0,TP,PoT,SCP,PiP,0,OREB,OREB%,DREB,DREB%,REB,0,AST,TO,A/TO,TO%,0,SLOB,SLOB%,PPSLOB,BLOB,BLOB%,PPBLOB,0,DEFL,STL,BLK,FOUL,CHG
1st,1,0,41.20%,0.00%,60.00%,62.50%,0.12,1.37,0,6,17,35.30%,41.20%,0,4,11,36.40%,0,2,6,33.30%,0,2,2,100.00%,0,16,10,1.34,16,+ 6.0,8,0,5,9,4,8,0,6,60.00%,5,62.50%,11,0,3,0,0,0.00%,0,1,100.00%,2,3,33.30%,0.67,0,5,4,0,4,0
2nd,1,0,55.60%,49.00%,33.30%,85.70%,0.33,0.65,0,5,9,55.60%,55.60%,0,5,7,71.40%,0,0,2,0.00%,0,0,3,0.00%,0,10,16,0.54,10,-6,8,0,0,4,2,8,0,2,33.30%,6,85.70%,8,0,2,10,0.2,49.00%,0,2,0.00%,0,1,100.00%,2,0,3,1,0,3,0
3rd,1,0,53.80%,16.80%,42.90%,71.40%,0.31,1.15,0,7,13,53.80%,53.80%,0,7,11,63.60%,0,0,2,0.00%,0,3,4,75.00%,0,17,16,1.14,17,+ 1.0,8,0,2,4,2,6,0,3,42.90%,5,71.40%,8,0,0,3,0,16.80%,0,1,100.00%,1,2,50.00%,1,0,4,3,0,4,0
4th,1,0,60.00%,23.70%,40.00%,50.00%,0.6,1.06,0,5,10,50.00%,60.00%,0,3,6,50.00%,0,2,4,50.00%,0,4,6,66.70%,0,16,17,1.08,16,-1,8,0,2,0,3,4,0,2,40.00%,4,50.00%,6,0,4,4,1,23.70%,0,1,0.00%,0,1,100.00%,3,0,4,2,1,7,0
OT1,1,0,66.70%,9.80%,0.00%,100.00%,4.33,1.46,0,2,3,66.70%,66.70%,0,2,3,66.70%,0,0,0,-,0,10,13,76.90%,0,14,8,1.38,14,+ 6.0,4,0,0,2,0,4,0,0,0.00%,3,100.00%,3,0,0,1,0,9.80%,0,0,-,0,0,-,0,0,1,1,0,3,0
