PLAYER,POS,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,PPG,Free Throw %,Three Point %,Two Point %,EFG
Ajay Mitchell,PG,75.25,197,78.25,101,8.5,8.5,11.12,2.95,3.11,28,33.5,20,85.8,39.3,53.5,54.7
Jonathan Mogbo,PF,78.25,217.2,86,108.5,8.75,8.75,11.14,3.07,3.02,31.5,37.5,14.2,69.2,,64,63.6
Tristen Newton,PG,75.25,191.8,78.75,100,8.5,9,10.96,2.84,3.24,25,32.5,15.1,80.8,32.1,50.9,49.5
Juan Nunez,PG,76,205.6,78.5,102,8.5,9.5,11.47,3.1,3.41,22,29,10.4,53.7,36.1,57.5,56.4
Quinten Post,C,84,244.4,86.5,112,9.25,10,11.48,3.03,3.4,24,27,17,82.1,43.1,54.4,57.2
Antonio Reeves,SG,76.5,186.6,80.25,100.5,9,10,11.44,3.16,3.14,29,36,20.2,86.3,44.7,55.7,60.3
Zaccharie Risacher,SF,80.5,194.6,81.5,107,8.5,8.75,11.51,2.97,3.38,25,31,10.1,74,35.2,51.1,51.9
Jaxson Robinson,SG,76.75,188.6,83.25,103,9,9.5,11.39,3.06,3.17,29.5,34,14.2,90.8,35.4,53.2,53.1
Tidjane Salaun,PF,80.75,217.4,85.5,110,8.5,9.75,11.45,3.05,3.37,27.5,32,9,76.7,32.9,42.5,46.2
Hunter Sallis,SG,75.5,179.4,81.75,100.5,8,9.5,10.82,3.16,3.11,29.5,36,18,78.3,40.5,54.2,56.8
Payton Sandfort,SF,78.25,212,80,104,8.5,9,11.57,2.84,3.43,22,28,16.4,91.1,37.9,55.1,56.2
Alexandre Sarr,C,83.75,224.2,88.25,110,9,10,11.43,3.23,3.27,30.5,37,9.7,71.4,29.8,60.5,56.1
Baylor Scheierman,SF,78.25,201.6,80.25,102.5,9.25,9.75,10.89,2.94,3.09,27.5,32,18.5,87.6,38.1,54.5,56
Mark Sears,PG,70.25,192.4,74,92,8,8.5,11.96,3.26,3.33,32,39,21.5,85.7,43.6,56.5,60.4
Jamal Shead,PG,72.25,200.8,75,96,8.25,8.75,10.87,2.87,2.94,30,37.5,12.9,77.9,30.9,45.6,45.8
Reed Sheppard,PG,73.75,181.6,75.25,93.5,7.75,9,10.96,3.03,3.08,32.5,42,12.5,83.1,52.1,55.5,67.9
KJ Simpson,PG,72.25,187,76.5,93.5,8.25,9.25,10.49,2.98,3.24,32.5,40.5,19.7,87.6,43.4,49.7,55.2
Tyler Smith,PF,81,223.8,85,105,8.5,9,10.74,2.99,3.28,32,38,14.3,74.2,35.2,53.2,53.1
Cam Spencer,SG,75,201.8,77,98.5,8.5,9.75,11.07,3,3.35,23,30.5,14.3,91.1,44,53.9,60.6
Nae'Qwan Tomlin,PF,80.25,205,86.5,109,9,10,11.63,3.54,3.43,27.5,32.5,14,77.4,39.6,68.1,65.7
JT Toppin,PF,79,221,84.5,106,9.25,9.25,11.12,3.01,3.27,28.5,34,12.4,56.5,34.4,65.5,64
Jaylon Tyson,SF,77.5,218.2,80,102.5,8.25,9.5,11.13,3.06,3.12,29.5,36.5,19.6,79.6,36,50.9,51.8
Ja'Kobe Walter,SG,76.25,197.6,82,102.5,8.75,9.75,11,2.92,3.04,30.5,38.5,14.5,79.2,34.1,42.3,47.4
Kel'el Ware,C,83.75,230,88.5,112.5,9.5,10.25,10.97,2.91,3.29,32.5,36,15.9,63.4,42.5,60.9,61.2
Jamir Watkins,SF,77,211.6,82.75,104,9,9.5,10.64,3.16,3.01,30.5,35.5,15.6,79.5,34.4,50,50.4
